Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
05/07/2018,420,420.25,417,418,-3,-0.71%,334948,1789692
05/04/2018,421,421.75,419.25,421,-0.25,-0.06%,289647,1782098
05/03/2018,419,421.5,418.75,421.25,1.25,+0.30%,310728,1770721
05/02/2018,420,421,419,420,-1,-0.24%,355534,1767915
05/01/2018,417,421,415.5,421,3.25,+0.78%,516836,1750116
04/30/2018,415.75,419,415.75,417.75,1,+0.24%,516024,1719123
04/27/2018,414,417,414,416.75,2,+0.48%,578322,1703792
04/26/2018,415,415.5,413,414.75,-0.5,-0.12%,442636,1751337
04/25/2018,412.25,415.25,412,415.25,3.5,+0.85%,485687,1800556
04/24/2018,409.25,412,409,411.75,1.75,+0.43%,379384,1797330
04/23/2018,408.25,410.5,408.25,410,1.5,+0.37%,432632,1810024
04/20/2018,412,412,408.5,408.5,-4.25,-1.03%,408092,1811839
04/19/2018,412.75,413,411,412.75,1,+0.24%,301347,1849879
04/18/2018,410,412.5,410,411.75,1.5,+0.37%,391959,1854990
04/17/2018,411,411.75,409,410.25,-0.5,-0.12%,554140,1854949
04/16/2018,413.25,414.25,410.5,410.75,-3.5,-0.84%,386829,1869143
04/13/2018,416.5,416.5,413,414.25,-1.5,-0.36%,501303,1871342
04/12/2018,414.5,416.25,413.5,415.75,0.5,+0.12%,460397,1884883
04/11/2018,415,416.5,413.5,415.25,-0.25,-0.06%,360309,1873881
04/10/2018,415.75,418.25,415,415.5,-0.75,-0.18%,623286,1882013
04/09/2018,416.5,418.5,416,416.25,-0.75,-0.18%,484150,1886279
04/06/2018,412.75,417.25,412.75,417,0.25,+0.06%,650717,1874477
04/05/2018,410,417,409.25,416.75,7.75,+1.89%,574180,1880806
04/04/2018,414,414.5,404,409,-5.5,-1.33%,799302,1874354
04/03/2018,414,417.25,413.75,414.5,0.25,+0.06%,452319,1865937
04/02/2018,412,415,411.25,414.25,2,+0.49%,466814,1864403
03/29/2018,404.75,414.5,404,412.25,7,+1.73%,811275,1845774
03/28/2018,406.5,407,404.25,405.25,-0.75,-0.18%,324350,1839430
03/27/2018,406.5,408.25,405,406,-0.5,-0.12%,257468,1850903
03/26/2018,408.75,409.75,406,406.5,-2.25,-0.55%,340300,1850911
03/23/2018,407.25,408.75,404,408.75,1.75,+0.43%,542308,1833794
03/22/2018,406.25,407.25,404.5,407,1.25,+0.31%,302979,1847102
03/21/2018,406,406.75,404.75,405.75,-0.5,-0.12%,306364,1844559
03/20/2018,406.25,407.5,405,406.25,0,0.00%,372060,1862226
03/19/2018,410,410.25,405.75,406.25,-4.5,-1.10%,460580,1880865
03/16/2018,412,413.25,410.5,410.75,-2.5,-0.60%,343767,1885830
03/15/2018,414.5,415.25,412.25,413.25,-2,-0.48%,334300,1881676
03/14/2018,417,418,414.75,415.25,-1.75,-0.42%,411605,1863507
03/13/2018,415.25,418,415.25,417,0.75,+0.18%,439855,1860162
03/12/2018,416,416.5,414.5,416.25,-1.5,-0.36%,373990,1837638
03/09/2018,415.75,417.75,413.25,417.75,1,+0.24%,528002,1821414
03/08/2018,414,417.25,413.5,416.75,1.5,+0.36%,563182,1809733
03/07/2018,414.75,415.75,413,415.25,0.25,+0.06%,339755,1775602
03/06/2018,413.25,415,413,415,0.5,+0.12%,318842,1743951
03/05/2018,413,414.5,412.5,414.5,0.75,+0.18%,301705,1729286
03/02/2018,414.25,414.5,412.5,413.75,-1,-0.24%,535616,1702714
03/01/2018,412,415,411,414.75,2,+0.48%,546068,1687819
02/28/2018,412.75,415,412.25,412.75,-0.75,-0.18%,566573,1660475
02/27/2018,411.75,413.5,411.5,413.5,1.25,+0.30%,725650,1636559
02/26/2018,411,414,411,412.25,1,+0.24%,809503,1633174
02/23/2018,411.25,412.5,411,411.25,0,0.00%,525916,1637130
02/22/2018,410,411.25,409.75,411.25,0.75,+0.18%,532449,1676463
02/21/2018,410.25,412.5,410,410.5,-0.5,-0.12%,564001,1684295
02/20/2018,411.75,413.5,410.5,411,-1.25,-0.30%,702596,1681923
02/16/2018,410.5,412.75,410.25,412.25,0.75,+0.18%,410480,1667072
02/15/2018,410,411.75,409.25,411.5,0.75,+0.18%,412828,1672912
02/14/2018,410.5,411.5,409.5,410.75,0,0.00%,383463,1677175
02/13/2018,410,411.75,410,410.75,-0.75,-0.18%,555133,1661360
02/12/2018,409.75,411.5,409.5,411.5,3.5,+0.86%,535975,1658245
02/09/2018,409,410.25,407.5,408,-2,-0.49%,534218,1650719
02/08/2018,409,411,409,410,0,0.00%,702727,1652086
02/07/2018,409,410.5,408.5,410,0.5,+0.12%,1015538,1686781
02/06/2018,407,411,405.5,409.5,2.75,+0.68%,441932,1711904
02/05/2018,408,408.25,406.25,406.75,-2.25,-0.55%,500126,1696459
02/02/2018,408.75,410,408.5,409,-0.75,-0.18%,391461,1700561
02/01/2018,409.5,410,408,409.75,0,0.00%,508230,1695323
01/31/2018,408.5,410,408,409.75,0.5,+0.12%,321429,1680022
01/30/2018,408.25,410,407.75,409.25,1,+0.24%,405461,1692248
01/29/2018,406,409,406,408.25,1.5,+0.37%,288374,1684215
01/26/2018,405.5,407,405.25,406.75,0.75,+0.18%,215568,1671798
01/25/2018,406.5,408.25,405,406,-1.25,-0.31%,399063,1666170
01/24/2018,403.75,407.75,403,407.25,3.5,+0.87%,545940,1662228
01/23/2018,404,404,402.25,403.75,-0.75,-0.19%,331793,1668554
01/22/2018,405,406.5,404.25,404.5,0,0.00%,272763,1646466
01/19/2018,404.25,406,403.75,404.5,0.25,+0.06%,238701,1631259
01/18/2018,405,405.25,403.25,404.25,-1.25,-0.31%,297992,1622220
01/17/2018,401.25,405.5,401.25,405.5,3.75,+0.93%,394598,1641918
01/16/2018,400,402,399.75,401.75,1.75,+0.44%,280153,1637164
01/12/2018,401.5,402.5,399.5,400,-2.25,-0.56%,323694,1622600
01/11/2018,401.75,403,401,402.25,0.25,+0.06%,283670,1600994
01/10/2018,401.5,403.25,401.5,402,0,0.00%,258939,1591122
01/09/2018,400.25,402.75,400.25,402,1,+0.25%,236531,1589938
01/08/2018,404,404.25,400.25,401,-3.5,-0.87%,414090,1592163
01/05/2018,405,406.25,403.75,404.5,-1,-0.25%,215663,1552995
01/04/2018,406.5,407,405,405.5,-1.5,-0.37%,289433,1549490
01/03/2018,405.75,407.75,405.5,407,0.75,+0.18%,204594,1548164
01/02/2018,404.75,406.75,404.75,406.25,2,+0.49%,223889,1542911
12/29/2017,404,404.5,403.75,404.25,-1.5,-0.37%,159769,1538886
12/28/2017,406,406,404,405.75,-0.5,-0.12%,142866,1540020
12/27/2017,405.25,407,405,406.25,0.5,+0.12%,132153,1536644
12/26/2017,405,406,403.75,405.75,1,+0.25%,105582,1544322
12/22/2017,403.5,404.75,403.5,404.75,0.5,+0.12%,103330,1545463
12/21/2017,404,405.5,403.75,404.25,0,0.00%,184430,1549339
12/20/2017,405,406,404,404.25,-0.75,-0.19%,200045,1560205
12/19/2017,404.75,405.75,404,405,0.75,+0.19%,129601,1549922
12/18/2017,403.5,405,403.5,404.25,0,0.00%,149140,1540082
12/15/2017,404.5,406.75,403.75,404.25,-0.5,-0.12%,211256,1532718
12/14/2017,405,406.5,404.5,404.75,-0.25,-0.06%,161100,1524433
12/13/2017,404,405.5,403.5,405,1,+0.25%,154884,1525547
12/12/2017,405.25,408,404,404,-0.75,-0.19%,290925,1520469
12/11/2017,407,407,404.75,404.75,-2.75,-0.67%,220182,1495045
12/08/2017,407.25,408.5,407,407.5,0.25,+0.06%,167419,1490843
12/07/2017,407,408,406.5,407.25,-0.75,-0.18%,211697,1496923
12/06/2017,407.75,409.5,406.75,408,0,0.00%,255560,1498961
12/05/2017,408.5,410.5,407.25,408,0.25,+0.06%,267630,1484205
12/04/2017,411.75,412.75,407,407.75,-4,-0.97%,390788,1483903
12/01/2017,409.5,411.75,409.25,411.75,2,+0.49%,240722,1497424
11/30/2017,409,411.25,408.5,409.75,0.5,+0.12%,315178,1505922
11/29/2017,406,409.25,406,409.25,3,+0.74%,663005,1516181
11/28/2017,407,407.5,406,406.25,-1.25,-0.31%,492913,1573236
11/27/2017,409,409,407,407.5,-1,-0.24%,685816,1603756
11/24/2017,409,410,407.25,408.5,-1.25,-0.31%,369479,1634723
11/22/2017,409,410.5,408,409.75,1,+0.24%,400726,1681580
11/21/2017,408.25,408.75,407.5,408.75,0.25,+0.06%,523314,1681453
11/20/2017,406.5,409.5,405.5,408.5,1.25,+0.31%,630086,1698289
11/17/2017,402.25,407.25,402.25,407.25,5.25,+1.31%,694816,1710646
11/16/2017,403,403,402,402,-1,-0.25%,386927,1725617
11/15/2017,402,404,402,403,0.25,+0.06%,443835,1711602
11/14/2017,406.5,406.5,402.5,402.75,-3.5,-0.86%,408391,1702668
11/13/2017,407.5,407.5,405.5,406.25,-2,-0.49%,577479,1686200
11/10/2017,406.5,408.75,406.25,408.25,1.75,+0.43%,702690,1665575
11/09/2017,411,412,406.5,406.5,-5,-1.22%,942922,1650113
11/08/2017,410.5,411.5,409.75,411.5,0,0.00%,435499,1626093
11/07/2017,411,411.5,410,411.5,0.5,+0.12%,608636,1623655
11/06/2017,411.5,412.5,411,411,0,0.00%,372947,1625557
11/03/2017,412.5,412.5,410.75,411,-1.5,-0.36%,379077,1636581
11/02/2017,411,413.75,411,412.5,1.5,+0.36%,280797,1607161
11/01/2017,409.5,411.25,409.5,411,1.5,+0.37%,371285,1607234
10/31/2017,411,411,409.25,409.5,-2,-0.49%,273729,1593417
10/30/2017,412,412,410.75,411.5,-0.5,-0.12%,183096,1568191
10/27/2017,412.75,412.75,411,412,-1.25,-0.30%,280551,1560015
10/26/2017,413.75,414.25,413,413.25,-1,-0.24%,247470,1552088
10/25/2017,414.75,416.25,413.5,414.25,-1,-0.24%,330081,1542616
10/24/2017,413,415.25,413,415.25,1.25,+0.30%,379347,1546282
10/23/2017,410,414.75,409,414,4.25,+1.04%,408302,1535770
10/20/2017,412.5,412.75,409.75,409.75,-3.25,-0.79%,302684,1532647
10/19/2017,412,414.25,412,413,1.25,+0.30%,203029,1507782
10/18/2017,412.25,412.25,410.75,411.75,-0.5,-0.12%,224269,1490407
10/17/2017,413,414,412.25,412.25,-1.25,-0.30%,245630,1489037
10/16/2017,415,415,413.5,413.5,-2,-0.48%,206017,1485437
10/13/2017,412,416,412,415.5,3,+0.73%,234754,1484377
10/12/2017,409.75,416.75,407.5,412.5,2.5,+0.61%,511740,1485529
10/11/2017,411,411.5,409.5,410,-2.25,-0.55%,255020,1462411
10/10/2017,412.75,414,412,412.25,-0.75,-0.18%,192751,1449877
10/09/2017,414,414.5,412,413,-0.5,-0.12%,169484,1444846
10/06/2017,413,413.5,412.25,413.5,1,+0.24%,245491,1445938
10/05/2017,412,413.25,410.5,412.5,1.25,+0.30%,163594,1450673
10/04/2017,411.75,411.75,409.25,411.25,-0.75,-0.18%,271905,1448173
10/03/2017,412,412.75,411.25,412,-1.25,-0.30%,282979,1433227
10/02/2017,415,416,412.75,413.25,-1.75,-0.42%,266704,1421596
09/29/2017,412,416.75,410.75,415,2.5,+0.61%,363551,1412646
09/28/2017,413,413,411,412.5,-1.75,-0.42%,210118,1398991
09/27/2017,411,414.25,409.5,414.25,2.25,+0.55%,301378,1397514
09/26/2017,412.25,413.25,411,412,-0.5,-0.12%,277931,1405286
09/25/2017,411,412.75,410.25,412.5,0.75,+0.18%,153194,1400408
09/22/2017,408.5,413.5,408.5,411.75,2.75,+0.67%,194290,1399534
09/21/2017,407.75,409.5,407.25,409,0.75,+0.18%,160199,1398818
09/20/2017,407,409.25,407,408.25,1.75,+0.43%,164633,1401547
09/19/2017,409.5,409.75,405.25,406.5,-3.5,-0.85%,230956,1395966
09/18/2017,409,410.5,408.5,410,-0.25,-0.06%,191280,1387310
09/15/2017,409.5,410.25,408.5,410.25,1,+0.24%,206907,1380109
09/14/2017,408,409.25,408,409.25,2.75,+0.68%,171389,1376690
09/13/2017,407,410,406.5,406.5,0,0.00%,227808,1370299
09/12/2017,409,410.5,401,406.5,-3.5,-0.85%,417770,1368725
09/11/2017,408.25,410.5,408.25,410,0.5,+0.12%,229782,1360001
09/08/2017,409.25,409.75,409,409.5,2,+0.49%,197069,1351922
09/07/2017,411.5,411.5,407.5,407.5,-3.25,-0.79%,194177,1352748
09/06/2017,407.75,411,407.75,410.75,0,0.00%,198618,1345159
09/05/2017,408.5,411.5,407.75,410.75,2.25,+0.55%,227372,1337632
09/01/2017,408.75,409.75,405.25,408.5,-0.25,-0.06%,287884,1331047
08/31/2017,402,409.25,401.25,408.75,7.25,+1.81%,429227,1316468
08/30/2017,403.75,403.75,401.5,401.5,-2.25,-0.56%,475457,1315393
08/29/2017,403,405,403,403.75,-1.75,-0.43%,411821,1373874
08/28/2017,405.5,406,404.5,405.5,0.5,+0.12%,323279,1423991
08/25/2017,406,406,404.5,405,-0.75,-0.18%,403302,1436813
08/24/2017,404.5,406,404.5,405.75,0.75,+0.19%,340846,1469895
08/23/2017,409,409,405,405,-2.75,-0.67%,340072,1473886
08/22/2017,408.5,408.5,407.75,407.75,-3,-0.73%,348883,1447921
08/21/2017,409,411,409,410.75,0,0.00%,334856,1433297
08/18/2017,409.5,410.75,409,410.75,0.25,+0.06%,400969,1426321
08/17/2017,411.5,411.5,410,410.5,-1,-0.24%,273066,1420307
08/16/2017,413.5,413.5,410,411.5,-2.5,-0.60%,484708,1407468
08/15/2017,416,416,413.5,414,-6.25,-1.49%,384147,1405868
08/14/2017,416.25,420.25,415.5,420.25,1.25,+0.30%,331248,1390457
08/11/2017,416.75,419,416.75,419,4.25,+1.02%,395798,1392975
08/10/2017,422,422,414.5,414.75,-8.25,-1.95%,893599,1395056
08/09/2017,422.75,423,421.75,423,0.5,+0.12%,502394,1378047
08/08/2017,422.5,424,421.25,422.5,-0.75,-0.18%,478160,1391126
08/07/2017,423.5,423.75,422.75,423.25,0.5,+0.12%,399737,1416038
08/04/2017,422,423.5,421,422.75,1.5,+0.36%,276692,1440639
08/03/2017,420,423,418,421.25,-0.25,-0.06%,430624,1461177
08/02/2017,420,422,420,421.5,1.5,+0.36%,289998,1441119
08/01/2017,421,421.25,417.75,420,-1,-0.24%,345979,1434247
07/31/2017,420,421.75,419,421,-0.75,-0.18%,239653,1415022
07/28/2017,420,421.75,419.5,421.75,2.5,+0.60%,185993,1404663
07/27/2017,418.5,420,418.5,419.25,1,+0.24%,243067,1393510
07/26/2017,415.75,418.5,415.5,418.25,2.5,+0.60%,389463,1396697
07/25/2017,420,421,414.75,415.75,-1.5,-0.36%,364382,1400075
07/24/2017,414.25,417.25,410.75,417.25,1.5,+0.36%,369076,1391833
07/21/2017,415.75,415.75,415.75,415.75,-5,-1.19%,405635,1421728
07/20/2017,419,421,417,420.75,3,+0.72%,407029,1388260
07/19/2017,415,419,415,417.75,2.5,+0.60%,390856,1390407
07/18/2017,417,419,415,415.25,-0.75,-0.18%,485737,1400131
07/17/2017,417.5,417.5,416,416,0.75,+0.18%,315905,1378352
07/14/2017,412.25,415.25,412.25,415.25,6,+1.47%,409350,1364006
07/13/2017,410,411,407,409.25,-4.5,-1.09%,628248,1368188
07/12/2017,416,416.5,412.5,413.75,-6.25,-1.49%,596470,1394107
07/11/2017,418.75,422,418.75,420,-1.5,-0.36%,515357,1373866
07/10/2017,420,422,418.25,421.5,5.5,+1.32%,626412,1349961
07/07/2017,414,420,414,416,-0.5,-0.12%,482207,1322358
07/06/2017,414.25,417.5,414,416.5,-2.25,-0.54%,472249,1323867
07/05/2017,417,418.75,415,418.75,1.75,+0.42%,494510,1337886
07/03/2017,418,420,413,417,0,0.00%,494384,1330520
06/30/2017,409.75,418,409.75,417,8.5,+2.08%,668963,1324610
06/29/2017,408.5,409.5,407,408.5,3.5,+0.86%,628971,1330410
06/28/2017,404,405.5,404,405,0,0.00%,618917,1353760
06/27/2017,405,405.25,405,405,0,0.00%,630771,1361668
06/26/2017,403.75,407.75,403.5,405,1.5,+0.37%,529297,1377125
06/23/2017,406.5,407.75,403.5,403.5,-3.25,-0.80%,601963,1392378
06/22/2017,406.75,406.75,406.75,406.75,-2.25,-0.55%,441504,1429142
06/21/2017,409,409,409,409,0,0.00%,354212,1417674
06/20/2017,409.5,409.5,408,409,-2.75,-0.67%,450185,1422725
06/19/2017,414,414.75,411.75,411.75,-5,-1.20%,497547,1415228
06/16/2017,416.75,416.75,416.75,416.75,2.5,+0.60%,443244,1417310
06/15/2017,412,414.5,409.5,414.25,-0.5,-0.12%,526461,1420080
06/14/2017,415,415,414.75,414.75,-1.75,-0.42%,398985,1439148
06/13/2017,415,416.5,413.75,416.5,3.5,+0.85%,489986,1444543
06/12/2017,413.5,413.5,412.75,413,-5.25,-1.26%,735257,1444924
06/09/2017,418.25,418.25,418.25,418.25,3.25,+0.78%,531752,1453848
06/08/2017,416.25,418,414.75,415,0.25,+0.06%,825629,1443377
06/07/2017,413,416,412.5,414.75,3.25,+0.79%,1090830,1440063
06/06/2017,411.5,411.5,411.5,411.5,2,+0.49%,462190,1413738
06/05/2017,409,410.5,409,409.5,0,0.00%,365367,1396305
06/02/2017,410,410.25,409.5,409.5,0,0.00%,219235,1397847
06/01/2017,406.5,409.5,406.25,409.5,1,+0.24%,293424,1398497
05/31/2017,410,410,406.5,408.5,1,+0.25%,441346,1392819
05/30/2017,407.5,407.5,407.5,407.5,-4.25,-1.03%,343777,1390444
05/26/2017,411.75,411.75,411.75,411.75,3.5,+0.86%,211621,1381723
05/25/2017,409.25,409.5,408.25,408.25,-1.25,-0.31%,187227,1398752
05/24/2017,409.5,409.5,409.5,409.5,1,+0.24%,167803,1391355
05/23/2017,408.5,408.5,408.5,408.5,-2.75,-0.67%,286486,1389074
05/22/2017,411.25,411.25,411.25,411.25,0.75,+0.18%,275429,1383516
05/19/2017,411.25,412.25,410.5,410.5,3.25,+0.80%,363031,1376449
05/18/2017,407.25,407.25,407.25,407.25,-5.25,-1.27%,309461,1388982
05/17/2017,412.5,412.5,412.5,412.5,3,+0.73%,246548,1368809
05/16/2017,409.5,409.5,409.5,409.5,-0.75,-0.18%,176863,1371182
05/15/2017,410.25,410.25,410.25,410.25,-1.25,-0.30%,172401,1363826
05/12/2017,411.5,411.5,411.5,411.5,1.75,+0.43%,146481,1364144
05/11/2017,409.75,409.75,409.75,409.75,-3.75,-0.91%,207820,1361008
05/10/2017,407.5,413.5,407.5,413.5,5.25,+1.29%,387948,1353319
05/09/2017,408.25,408.25,408.25,408.25,1,+0.25%,231549,1357901
05/08/2017,407.25,407.25,407.25,407.25,-3.25,-0.79%,242795,1351991
