Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/14/2018,378,379,374.25,376.75,1.25,+0.33%,243415,1569447
12/13/2018,375,377.5,374,375.5,-0.75,-0.20%,224090,1575219
12/12/2018,375.5,378,375.5,376.25,1.25,+0.33%,327280,1575493
12/11/2018,373.75,376.5,372.75,375,0.75,+0.20%,252617,1578442
12/10/2018,374.25,376,372.75,374.25,0.25,+0.07%,221967,1567510
12/07/2018,371.75,374.75,371.5,374,2,+0.54%,194171,1572286
12/06/2018,374,374.5,369.25,372,-2.25,-0.60%,293680,1576132
12/05/2018,373.5,376,372.5,374.25,0,0.00%,240794,1564467
12/04/2018,370,374.25,369.5,374.25,3,+0.81%,252480,1566078
12/03/2018,372.75,374,369.5,371.25,4.75,+1.30%,308616,1564606
11/30/2018,360.75,366.75,360.5,366.5,6.25,+1.73%,332565,1550546
11/29/2018,360.5,363,359,360.25,-0.25,-0.07%,511728,1541908
11/28/2018,356.25,361.5,356,360.5,4,+1.12%,632454,1584284
11/27/2018,356,358.5,355.5,356.5,0.5,+0.14%,628580,1653425
11/26/2018,359.5,360.5,355.25,356,-3,-0.84%,761415,1682387
11/23/2018,361,361.75,358.75,359,-2.75,-0.76%,345082,1712007
11/21/2018,361.25,363.25,360,361.75,0.5,+0.14%,386231,1756681
11/20/2018,362.75,363.5,361.25,361.25,-1,-0.28%,334071,1740400
11/19/2018,364.75,366.25,361.25,362.25,-2.5,-0.69%,355433,1746552
11/16/2018,367.25,368.75,363.25,364.75,-2.75,-0.75%,395086,1752168
11/15/2018,366.75,371.75,366.5,367.5,0.5,+0.14%,371910,1758422
11/14/2018,366,368,365.75,367,0.5,+0.14%,291010,1763626
11/13/2018,369.5,370.75,365.5,366.5,-4.75,-1.28%,389392,1760527
11/12/2018,369,372.5,368,371.25,1.5,+0.41%,397486,1743637
11/09/2018,372.75,374,368.25,369.75,-3.75,-1.00%,452485,1745340
11/08/2018,372,379,366,373.5,1.25,+0.34%,868391,1724312
11/07/2018,372.25,373.25,371,372.25,-1,-0.27%,491856,1705526
11/06/2018,373.75,374.5,372,373.25,-0.75,-0.20%,391641,1711027
11/05/2018,371,374.25,369.5,374,2.75,+0.74%,348931,1711521
11/02/2018,366.25,373,365.25,371.25,4.5,+1.23%,442853,1705529
11/01/2018,363.25,371,363,366.75,3.5,+0.96%,561948,1711315
10/31/2018,364.75,365.25,362.5,363.25,-1.5,-0.41%,281902,1700684
10/30/2018,366.75,368,364.25,364.75,-2,-0.55%,240341,1684473
10/29/2018,368,371.5,365.5,366.75,-1,-0.27%,234734,1678121
10/26/2018,361.75,369.75,361.75,367.75,6.75,+1.87%,337362,1676838
10/25/2018,367.75,368.25,360.5,361,-7.25,-1.97%,435439,1681332
10/24/2018,369.5,369.75,367.75,368.25,-2,-0.54%,209002,1667259
10/23/2018,369.25,372.5,368,370.25,0.75,+0.20%,235645,1655068
10/22/2018,365.5,370.5,365.5,369.5,2.5,+0.68%,255133,1647770
10/19/2018,370.5,371,366,367,-3.75,-1.01%,295799,1643114
10/18/2018,373,373.25,369.5,370.75,-3.5,-0.94%,234840,1632117
10/17/2018,375,376.25,373.25,374.25,-1,-0.27%,170124,1622413
10/16/2018,377.25,377.5,373.5,375.25,-3,-0.79%,309396,1622531
10/15/2018,373,378.5,371.75,378.25,4.5,+1.20%,407486,1623960
10/12/2018,369,374,368.5,373.75,4.5,+1.22%,323012,1638331
10/11/2018,362,373,360.25,369.25,6.5,+1.79%,413886,1653283
10/10/2018,364.5,365.25,362,362.75,-1.75,-0.48%,208299,1649020
