Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/14/2020,424.75,429.75,419.25,419.25,-5,-1.18%,171541,1662936
12/11/2020,422,424.5,417.5,424.25,4,+0.95%,193782,1664356
12/10/2020,422,425.75,419.75,420.25,-1.75,-0.41%,243317,1661107
12/09/2020,418,422.25,418,422,5,+1.20%,164090,1661184
12/08/2020,418.75,419,415.5,417,-2.5,-0.60%,188424,1662063
12/07/2020,415.25,421,412,419.5,2.5,+0.60%,271812,1662787
12/04/2020,422.25,422.75,415.75,417,-5.5,-1.30%,254507,1666136
12/03/2020,419.25,423.25,417.75,422.5,3.5,+0.84%,283478,1667785
12/02/2020,414.5,419.75,409,419,4.25,+1.02%,323440,1667222
12/01/2020,420,423,414,414.75,-5,-1.19%,297200,1670784
11/30/2020,427.5,430.5,418.25,419.75,-5.75,-1.35%,344604,1671152
11/27/2020,420.25,426.25,418.5,425.5,5.5,+1.31%,253224,1669421
11/25/2020,426,427.5,420,420,-5.75,-1.35%,489555,1681027
11/24/2020,425.75,426.5,416.5,425.75,-0.75,-0.18%,472744,1714374
11/23/2020,427.5,429.75,423.5,426.5,3.25,+0.77%,417139,1737962
11/20/2020,422.25,428,421.5,423.25,0.75,+0.18%,387055,1747457
11/19/2020,424.5,425.5,418.75,422.5,-3.25,-0.76%,367173,1776929
11/18/2020,419,428.5,418.5,425.75,5.5,+1.31%,480326,1777905
11/17/2020,417.5,422,417.25,420.25,4,+0.96%,390882,1783436
11/16/2020,409,416.75,409,416.25,5.75,+1.40%,294416,1757578
11/13/2020,407.5,413.25,403.75,410.5,2.25,+0.55%,427229,1769356
11/12/2020,417.25,418.5,406.25,408.25,-9,-2.16%,525358,1764214
11/11/2020,422.5,428,416.25,417.25,-5.75,-1.36%,682911,1764897
11/10/2020,407,427.25,406.25,423,15.5,+3.80%,816325,1760320
11/09/2020,405.75,410,401.75,407.5,0.75,+0.18%,451235,1727331
11/06/2020,409,412,405.75,406.75,-2.5,-0.61%,439357,1735491
11/05/2020,405,417.25,404,409.25,4,+0.99%,506358,1726575
11/04/2020,400,406,396.5,405.25,4.25,+1.06%,376777,1710506
11/03/2020,396.25,403.25,395.25,401,3.5,+0.88%,357580,1703764
11/02/2020,396,397.75,393,397.5,-1,-0.25%,312588,1693695
10/30/2020,397.25,400,394.25,398.5,0,0.00%,415828,1694701
10/29/2020,401,404.25,393,398.5,-3,-0.75%,526054,1699393
10/28/2020,415,415.25,400.5,401.5,-14.5,-3.49%,651458,1698292
10/27/2020,416.75,422.25,415.5,416,-1.75,-0.42%,426691,1682271
10/26/2020,419.25,419.75,412.75,417.75,-1.5,-0.36%,387501,1673198
10/23/2020,415,420,414,419.25,3,+0.72%,343211,1657517
10/22/2020,413.75,419,410.75,416.25,2.5,+0.60%,360125,1664566
10/21/2020,408.25,415.25,407.75,413.75,5,+1.22%,425593,1652311
10/20/2020,404.25,409.75,403.5,408.75,3.5,+0.86%,325244,1622230
10/19/2020,401.75,406.75,400.75,405.25,3.25,+0.81%,308939,1608349
