Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/14/2021,583.25,591,576.75,588.75,4.5,+0.77%,182946,1459239
12/13/2021,587.5,588,580.75,584.25,-4.25,-0.72%,183735,1454489
12/10/2021,588.5,592,585,588.5,0,0.00%,140707,1452730
12/09/2021,585.75,591.25,576.75,588.5,3.75,+0.64%,264064,1449270
12/08/2021,585,589,584,584.75,-1.5,-0.26%,175951,1439067
12/07/2021,584,589.5,579.5,586.25,2.75,+0.47%,208866,1430401
12/06/2021,586,586,578,583.5,-2.5,-0.43%,172298,1422558
12/03/2021,576.25,588.75,576.25,586,9,+1.56%,246321,1417076
12/02/2021,571.25,583,570,577,5,+0.87%,300642,1410295
12/01/2021,568,576,567,572,5,+0.88%,256884,1404188
11/30/2021,581,582,562,567,-14,-2.41%,424900,1405105
11/29/2021,586,588.25,576.5,581,-5.75,-0.98%,488124,1439654
11/26/2021,571.5,588,566.75,586.75,7,+1.21%,429116,1503797
11/24/2021,580.25,589,575.5,579.75,-0.75,-0.13%,601436,1579456
11/23/2021,576.25,581,572.5,580.5,3.75,+0.65%,406826,1611856
11/22/2021,570.5,579,569.75,576.75,6,+1.05%,397433,1613862
11/19/2021,573,576,568,570.75,-2.25,-0.39%,280783,1615140
11/18/2021,575,583,572,573,-2.25,-0.39%,392431,1616147
11/17/2021,570.75,584,570,575.25,4.25,+0.74%,397072,1610509
11/16/2021,576,577.5,570,571,-5.5,-0.95%,313148,1598926
11/15/2021,576.25,578.75,569.75,576.5,-0.75,-0.13%,270866,1584095
11/12/2021,569.25,582,566.75,577.25,7.75,+1.36%,335985,1591350
11/11/2021,567.75,579,566,569.5,0.25,+0.04%,543119,1581360
11/10/2021,555.5,571.75,555,569.25,14.5,+2.61%,431424,1555672
11/09/2021,551,564,547.75,554.75,3.25,+0.59%,485845,1540731
11/08/2021,552,554.75,549.5,551.5,-1.5,-0.27%,342021,1549523
11/05/2021,560,562.75,552.25,553,-6.25,-1.12%,383645,1524713
11/04/2021,563.75,569.75,556.5,559.25,-4.75,-0.84%,274007,1527738
11/03/2021,572,573.25,563,564,-9,-1.57%,276217,1517759
11/02/2021,578.25,586,572,573,-6,-1.04%,325905,1506602
11/01/2021,568,582,565.25,579,10.75,+1.89%,362458,1494397
10/29/2021,562.5,569.25,558.75,568.25,5.5,+0.98%,250454,1477556
10/28/2021,556.5,568.75,554,562.75,5.5,+0.99%,300787,1467807
10/27/2021,542.5,563.25,539.5,557.25,13.75,+2.53%,415235,1455697
10/26/2021,538,547.25,533,543.5,5.5,+1.02%,249665,1438930
10/25/2021,537,542,535,538,0,0.00%,180870,1432884
10/22/2021,533,540,532,538,5.75,+1.08%,193413,1430649
10/21/2021,539,540,530.75,532.25,-7,-1.30%,228816,1422196
10/20/2021,530,540,528.5,539.25,9,+1.70%,224380,1414496
10/19/2021,532,537,529.5,530.25,-2.5,-0.47%,215107,1404126
10/18/2021,525.75,533.75,523,532.75,7,+1.33%,192731,1402814
10/15/2021,516.25,528.5,514.25,525.75,9,+1.74%,213239,1399961
10/14/2021,512.25,518.25,511,516.75,4.5,+0.88%,256140,1403450
10/13/2021,523,525.25,506.75,512.25,-10.25,-1.96%,339022,1403156
10/12/2021,532.75,533,519.25,522.5,-10.5,-1.97%,304887,1400377
10/11/2021,530,534,528.75,533,2.5,+0.47%,176670,1393217
10/08/2021,533.25,538.75,530,530.5,-3.5,-0.66%,166530,1404471
10/07/2021,532.75,535.25,527.5,534,1.75,+0.33%,177584,1400296
10/06/2021,537,544.75,531.5,532.25,-5.25,-0.98%,211962,1398478
10/05/2021,540,543,535.25,537.5,-3.25,-0.60%,213550,1397458
10/04/2021,540,547.5,536,540.75,-0.75,-0.14%,218973,1405829
10/01/2021,536.75,545.25,532,541.5,4.75,+0.88%,231390,1399910
09/30/2021,539,548.5,527.25,536.75,-2.25,-0.42%,342167,1398058
09/29/2021,533.5,541,533.5,539,6.5,+1.22%,178217,1393267
09/28/2021,538.75,541.75,532,532.5,-7,-1.30%,204636,1394022
09/27/2021,524.75,540,524,539.5,12.75,+2.42%,209390,1393216
09/24/2021,528.5,528.75,524,526.75,-2.5,-0.47%,130202,1387616
09/23/2021,524.5,531,520.25,529.25,3.75,+0.71%,134918,1382912
09/22/2021,517,526.25,516,525.5,8.5,+1.64%,174413,1382652
09/21/2021,522,522.75,512.75,517,-4.75,-0.91%,180531,1379770
09/20/2021,527,527,515.25,521.75,-5.5,-1.04%,207248,1381869
